ATC4;l_atc4;age;sexe;BEN_REG;PSP_SPE;nbc;REM;BSE;BOITES
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;5;1;735;911,09;3.147,19;926
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;5;12;708;1.155,66;3.825,68;1122
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;5;90;272;382,84;1.280,56;367
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;5;99;31;24,58;81,92;34
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;1;3396;3.790,41;12.823,92;4880
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;4;11;9,58;31,92;12
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;5;15;15,16;50,54;19
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;7;11;9,58;31,92;12
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;12;3551;4.574,48;15.139,78;5920
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;18;25;79,80;266,00;25
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;19;219;272,21;883,84;301
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;36;11;41,50;138,32;13
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;90;1700;1.950,96;6.387,51;2357
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;11;99;106;80,11;261,01;111
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;24;1;830;934,93;3.097,11;1182
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;24;12;151;186,24;608,38;233
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;24;19;13;7,35;25,80;20
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;24;90;278;335,09;1.016,92;400
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;24;99;24;94,70;266,00;25
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;27;1;1143;1.351,88;4.497,06;1709
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;27;12;424;549,06;1.772,62;671
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;27;18;11;35,11;117,04;11
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;27;19;34;20,51;68,37;53
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;27;90;502;667,90;2.190,54;825
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;27;99;67;140,07;339,76;80
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;28;1;2384;2.994,95;9.933,49;3781
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;28;12;1099;1.423,23;4.698,64;1802
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;28;19;19;10,84;36,12;28
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;28;90;985;1.289,49;4.054,54;1535
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;28;99;81;104,57;346,83;86
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;32;1;1543;1.734,34;5.723,34;2198
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;32;12;1005;1.444,35;4.775,00;1839
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;32;19;50;69,78;229,58;62
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;32;90;626;756,57;2.504,26;961
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;32;99;24;18,00;59,99;31
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;44;1;2602;3.268,40;10.464,74;4005
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;44;7;15;13,57;45,22;17
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;44;12;2523;3.505,27;11.211,09;4473
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;44;19;79;140,91;467,54;116
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;44;90;1066;1.638,35;4.575,65;1647
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;44;99;76;109,59;343,14;93
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;52;1;793;873,71;2.897,14;1108
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;52;12;272;297,29;997,33;398
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;52;19;19;8,90;29,67;23
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;52;90;125;158,28;449,56;170
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;52;99;23;48,68;162,26;25
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;53;1;493;539,43;1.788,36;673
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;53;12;153;187,25;624,16;234
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;53;19;51;74,00;247,96;69
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;53;36;28;101,08;287,28;27
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;53;90;63;56,99;192,64;83
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;53;99;17;7,35;25,80;20
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;75;1;1093;1.263,01;4.039,86;1569
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;75;12;239;293,81;966,96;366
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;75;19;85;106,99;306,98;122
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;75;90;220;224,79;729,45;288
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;76;1;1214;1.231,85;4.132,71;1590
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;76;12;805;1.073,84;3.527,59;1348
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;76;19;78;105,34;351,14;91
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;76;90;360;393,28;1.340,64;504
A01AA;MEDICAMENTS PROPHYLACTIQUES ANTICARIES;0;1;76;99;22;19,15;63,84;24
