code_insee;nom_standard;reg_nom;dep_nom;population;latitude_centre;longitude_centre
1001;L'Abergement-Clémenciat;Auvergne-Rhône-Alpes;Ain;832;46.153;4.926
1002;L'Abergement-de-Varey;Auvergne-Rhône-Alpes;Ain;267;46.009;5.428
1004;Ambérieu-en-Bugey;Auvergne-Rhône-Alpes;Ain;14854;45.961;5.373
1005;Ambérieux-en-Dombes;Auvergne-Rhône-Alpes;Ain;1897;45.996;4.912
1006;Ambléon;Auvergne-Rhône-Alpes;Ain;113;45.75;5.594
1007;Ambronay;Auvergne-Rhône-Alpes;Ain;2833;46.006;5.358
1008;Ambutrix;Auvergne-Rhône-Alpes;Ain;768;45.937;5.333
1009;Andert-et-Condon;Auvergne-Rhône-Alpes;Ain;322;45.787;5.658
1010;Anglefort;Auvergne-Rhône-Alpes;Ain;1125;45.909;5.795
1011;Apremont;Auvergne-Rhône-Alpes;Ain;383;46.206;5.658
1012;Aranc;Auvergne-Rhône-Alpes;Ain;327;46.002;5.511
1013;Arandas;Auvergne-Rhône-Alpes;Ain;141;45.891;5.499
1014;Arbent;Auvergne-Rhône-Alpes;Ain;3409;46.284;5.691
1015;Arboys en Bugey;Auvergne-Rhône-Alpes;Ain;667;45.724;5.653
1016;Arbigny;Auvergne-Rhône-Alpes;Ain;459;46.478;4.96
1017;Argis;Auvergne-Rhône-Alpes;Ain;432;45.934;5.482
1019;Armix;Auvergne-Rhône-Alpes;Ain;26;45.854;5.584
1021;Ars-sur-Formans;Auvergne-Rhône-Alpes;Ain;1498;45.994;4.822
1022;Artemare;Auvergne-Rhône-Alpes;Ain;1177;45.87;5.691
1023;Asnières-sur-Saône;Auvergne-Rhône-Alpes;Ain;77;46.386;4.884
1024;Attignat;Auvergne-Rhône-Alpes;Ain;3336;46.286;5.18
1025;Bâgé-Dommartin;Auvergne-Rhône-Alpes;Ain;4065;46.323;4.953
1026;Bâgé-le-Châtel;Auvergne-Rhône-Alpes;Ain;979;46.308;4.929
1027;Balan;Auvergne-Rhône-Alpes;Ain;2692;45.831;5.108
1028;Baneins;Auvergne-Rhône-Alpes;Ain;621;46.114;4.902
1029;Beaupont;Auvergne-Rhône-Alpes;Ain;700;46.429;5.26
1030;Beauregard;Auvergne-Rhône-Alpes;Ain;830;46.001;4.756
1031;Bellignat;Auvergne-Rhône-Alpes;Ain;3636;46.237;5.636
1032;Béligneux;Auvergne-Rhône-Alpes;Ain;3434;45.859;5.14
1033;Valserhône;Auvergne-Rhône-Alpes;Ain;16295;46.107;5.832
1034;Belley;Auvergne-Rhône-Alpes;Ain;9239;45.75;5.684
1035;Belleydoux;Auvergne-Rhône-Alpes;Ain;306;46.253;5.785
1036;Valromey-sur-Séran;Auvergne-Rhône-Alpes;Ain;1342;45.885;5.651
1037;Bénonces;Auvergne-Rhône-Alpes;Ain;310;45.838;5.483
1038;Bény;Auvergne-Rhône-Alpes;Ain;764;46.319;5.282
1040;Béréziat;Auvergne-Rhône-Alpes;Ain;480;46.367;5.04
1041;Bettant;Auvergne-Rhône-Alpes;Ain;749;45.937;5.367
1042;Bey;Auvergne-Rhône-Alpes;Ain;290;46.219;4.846
1043;Beynost;Auvergne-Rhône-Alpes;Ain;4877;45.839;4.997
1044;Billiat;Auvergne-Rhône-Alpes;Ain;626;46.079;5.766
1045;Birieux;Auvergne-Rhône-Alpes;Ain;284;45.953;5.037
1046;Biziat;Auvergne-Rhône-Alpes;Ain;904;46.227;4.941
1047;Blyes;Auvergne-Rhône-Alpes;Ain;1292;45.847;5.252
1049;La Boisse;Auvergne-Rhône-Alpes;Ain;3361;45.845;5.028
1050;Boissey;Auvergne-Rhône-Alpes;Ain;386;46.373;4.999
1051;Bolozon;Auvergne-Rhône-Alpes;Ain;95;46.196;5.471
1052;Bouligneux;Auvergne-Rhône-Alpes;Ain;327;46.023;4.992
1053;Bourg-en-Bresse;Auvergne-Rhône-Alpes;Ain;41525;46.205;5.246
1054;Bourg-Saint-Christophe;Auvergne-Rhône-Alpes;Ain;1517;45.886;5.144
1056;Boyeux-Saint-Jérôme;Auvergne-Rhône-Alpes;Ain;356;46.036;5.463
1057;Boz;Auvergne-Rhône-Alpes;Ain;510;46.405;4.914
1058;Brégnier-Cordon;Auvergne-Rhône-Alpes;Ain;818;45.642;5.616
1060;Brénod;Auvergne-Rhône-Alpes;Ain;518;46.076;5.614
1061;Brens;Auvergne-Rhône-Alpes;Ain;1129;45.714;5.69
1062;Bressolles;Auvergne-Rhône-Alpes;Ain;978;45.869;5.101
1063;Brion;Auvergne-Rhône-Alpes;Ain;576;46.169;5.547
1064;Briord;Auvergne-Rhône-Alpes;Ain;1099;45.771;5.485
1065;Buellas;Auvergne-Rhône-Alpes;Ain;1851;46.21;5.145
1066;La Burbanche;Auvergne-Rhône-Alpes;Ain;95;45.86;5.546
1067;Ceignes;Auvergne-Rhône-Alpes;Ain;261;46.126;5.495
1068;Cerdon;Auvergne-Rhône-Alpes;Ain;761;46.072;5.476
1069;Certines;Auvergne-Rhône-Alpes;Ain;1505;46.134;5.262
1071;Cessy;Auvergne-Rhône-Alpes;Ain;5307;46.316;6.078
1072;Ceyzériat;Auvergne-Rhône-Alpes;Ain;3285;46.183;5.32
1073;Ceyzérieu;Auvergne-Rhône-Alpes;Ain;992;45.834;5.719
1074;Chalamont;Auvergne-Rhône-Alpes;Ain;2559;46.008;5.169
1075;Chaleins;Auvergne-Rhône-Alpes;Ain;1430;46.034;4.798
1076;Chaley;Auvergne-Rhône-Alpes;Ain;124;45.953;5.537
1077;Challes-la-Montagne;Auvergne-Rhône-Alpes;Ain;189;46.122;5.458
1078;Challex;Auvergne-Rhône-Alpes;Ain;1619;46.177;5.971
1079;Champagne-en-Valromey;Auvergne-Rhône-Alpes;Ain;826;45.932;5.693
1080;Champdor-Corcelles;Auvergne-Rhône-Alpes;Ain;645;46.02;5.6
1081;Champfromier;Auvergne-Rhône-Alpes;Ain;718;46.22;5.822
1082;Chanay;Auvergne-Rhône-Alpes;Ain;616;46.006;5.769
1083;Chaneins;Auvergne-Rhône-Alpes;Ain;1003;46.094;4.855
1084;Chanoz-Châtenay;Auvergne-Rhône-Alpes;Ain;931;46.186;5.028
1085;La Chapelle-du-Châtelard;Auvergne-Rhône-Alpes;Ain;394;46.074;5.022
1087;Charix;Auvergne-Rhône-Alpes;Ain;279;46.186;5.681
1088;Charnoz-sur-Ain;Auvergne-Rhône-Alpes;Ain;898;45.874;5.221
1089;Château-Gaillard;Auvergne-Rhône-Alpes;Ain;2287;45.973;5.308
1090;Châtenay;Auvergne-Rhône-Alpes;Ain;360;46.026;5.205
1092;Châtillon-la-Palud;Auvergne-Rhône-Alpes;Ain;1649;45.975;5.242
1093;Châtillon-sur-Chalaronne;Auvergne-Rhône-Alpes;Ain;5059;46.123;4.958
1094;Chavannes-sur-Reyssouze;Auvergne-Rhône-Alpes;Ain;767;46.438;5.007
1095;Nivigne et Suran;Auvergne-Rhône-Alpes;Ain;832;46.275;5.416
1096;Chaveyriat;Auvergne-Rhône-Alpes;Ain;1036;46.199;5.056
1098;Chazey-Bons;Auvergne-Rhône-Alpes;Ain;1188;45.793;5.685
1099;Chazey-sur-Ain;Auvergne-Rhône-Alpes;Ain;1600;45.893;5.255
1100;Cheignieu-la-Balme;Auvergne-Rhône-Alpes;Ain;131;45.823;5.605
1101;Chevillard;Auvergne-Rhône-Alpes;Ain;150;46.11;5.581
1102;Chevroux;Auvergne-Rhône-Alpes;Ain;973;46.382;4.963
1103;Chevry;Auvergne-Rhône-Alpes;Ain;2261;46.283;6.047
1104;Chézery-Forens;Auvergne-Rhône-Alpes;Ain;445;46.223;5.872
1105;Civrieux;Auvergne-Rhône-Alpes;Ain;1916;45.922;4.886
1106;Cize;Auvergne-Rhône-Alpes;Ain;176;46.2;5.451
1107;Cleyzieu;Auvergne-Rhône-Alpes;Ain;140;45.902;5.433
1108;Coligny;Auvergne-Rhône-Alpes;Ain;1227;46.387;5.331
1109;Collonges;Auvergne-Rhône-Alpes;Ain;2249;46.142;5.9
1110;Colomieu;Auvergne-Rhône-Alpes;Ain;163;45.736;5.627
1111;Conand;Auvergne-Rhône-Alpes;Ain;135;45.884;5.475
1112;Condamine;Auvergne-Rhône-Alpes;Ain;473;46.106;5.556
1113;Condeissiat;Auvergne-Rhône-Alpes;Ain;815;46.154;5.084
1114;Confort;Auvergne-Rhône-Alpes;Ain;685;46.154;5.833
1115;Confrançon;Auvergne-Rhône-Alpes;Ain;1348;46.27;5.058
1116;Contrevoz;Auvergne-Rhône-Alpes;Ain;493;45.801;5.621
1117;Conzieu;Auvergne-Rhône-Alpes;Ain;149;45.725;5.604
1118;Corbonod;Auvergne-Rhône-Alpes;Ain;1296;45.966;5.79
1121;Corlier;Auvergne-Rhône-Alpes;Ain;117;46.034;5.496
1123;Cormoranche-sur-Saône;Auvergne-Rhône-Alpes;Ain;1162;46.24;4.828
1124;Cormoz;Auvergne-Rhône-Alpes;Ain;703;46.434;5.222
1125;Corveissiat;Auvergne-Rhône-Alpes;Ain;596;46.25;5.472
1127;Courmangoux;Auvergne-Rhône-Alpes;Ain;504;46.327;5.356
1128;Courtes;Auvergne-Rhône-Alpes;Ain;297;46.457;5.111
1129;Crans;Auvergne-Rhône-Alpes;Ain;306;45.966;5.195
1130;Bresse Vallons;Auvergne-Rhône-Alpes;Ain;2380;46.313;5.178
1133;Cressin-Rochefort;Auvergne-Rhône-Alpes;Ain;389;45.783;5.766
1134;Crottet;Auvergne-Rhône-Alpes;Ain;1818;46.283;4.878
1135;Crozet;Auvergne-Rhône-Alpes;Ain;2288;46.292;5.995
1136;Cruzilles-lès-Mépillat;Auvergne-Rhône-Alpes;Ain;943;46.222;4.875
1138;Culoz-Béon;Auvergne-Rhône-Alpes;Ain;3426;45.856;5.784
1139;Curciat-Dongalon;Auvergne-Rhône-Alpes;Ain;451;46.488;5.163
1140;Curtafond;Auvergne-Rhône-Alpes;Ain;784;46.273;5.102
1141;Cuzieu;Auvergne-Rhône-Alpes;Ain;433;45.82;5.677
1142;Dagneux;Auvergne-Rhône-Alpes;Ain;4753;45.853;5.073
1143;Divonne-les-Bains;Auvergne-Rhône-Alpes;Ain;10137;46.376;6.116
1145;Dompierre-sur-Veyle;Auvergne-Rhône-Alpes;Ain;1207;46.067;5.217
1146;Dompierre-sur-Chalaronne;Auvergne-Rhône-Alpes;Ain;437;46.142;4.901
1147;Domsure;Auvergne-Rhône-Alpes;Ain;526;46.424;5.293
1148;Dortan;Auvergne-Rhône-Alpes;Ain;1953;46.313;5.642
1149;Douvres;Auvergne-Rhône-Alpes;Ain;1094;45.984;5.371
1150;Drom;Auvergne-Rhône-Alpes;Ain;215;46.22;5.368
1151;Druillat;Auvergne-Rhône-Alpes;Ain;1139;46.068;5.294
1152;Échallon;Auvergne-Rhône-Alpes;Ain;765;46.227;5.733
